year,day_type,date,ward,location,zone_type,day_leq,day_lmin,day_lmax,night_leq,night_lmin,night_lmax
2023,pre_diwali,2023-11-06,Mumbai South,Colaba,Silence,74.7,30.8,89.4,70.0,49.0,79.7
2023,pre_diwali,2023-11-06,Mumbai South,Mantralaya,Commercial,74.0,43.9,87.3,67.1,41.5,81.2
2023,pre_diwali,2023-11-06,Mumbai South,Mazgaon,Commercial,78.4,54.1,87.3,69.6,31.4,84.2
2023,pre_diwali,2023-11-06,Mumbai South,Girgaon,Commercial,87.0,59.8,93.6,65.8,57.8,72.9
2023,pre_diwali,2023-11-06,Mumbai South,Worli,Commercial,82.0,30.1,94.4,56.9,47.5,65.0
2023,pre_diwali,2023-11-06,Mumbai South,Prabhadevi,Commercial,60.3,45.9,71.8,58.4,44.8,70.0
2023,pre_diwali,2023-11-06,Mumbai South,Mahim,Residential,72.6,41.6,83.5,68.8,50.5,79.0
2023,pre_diwali,2023-11-06,Mumbai South,Parel,Commercial,66.6,51.3,82.2,63.2,42.8,77.3
2023,pre_diwali,2023-11-06,Mumbai South,Byculla,Commercial,74.7,60.8,82.2,71.4,46.6,81.2
2023,pre_diwali,2023-11-06,Mumbai South,Dadar,Commercial,71.9,54.8,83.9,67.6,43.2,80.4
2023,pre_diwali,2023-11-06,Mumbai South,Sion,Commercial,63.0,41.8,77.0,67.7,50.0,81.2
2023,pre_diwali,2023-11-06,Mumbai South,Hindu Colony,Residential,74.7,60.8,82.2,71.4,46.6,81.2
2023,pre_diwali,2023-11-06,Mumbai South,Matunga,Commercial,82.5,37.8,99.2,68.2,33.3,79.4
2023,pre_diwali,2023-11-06,Mumbai South,Kamathipura,Commercial,74.6,54.5,87.6,68.1,51.9,75.4
2023,pre_diwali,2023-11-06,Mumbai South,Malabar Hills,Residential,77.4,54.9,87.7,67.9,50.5,78.1
2023,diwali,2023-11-12,Mumbai South,Colaba,Silence,85.4,56.5,94.2,79.3,49.0,91.7
2023,diwali,2023-11-12,Mumbai South,Mantralaya,Commercial,77.4,48.2,88.9,66.3,48.3,77.3
2023,diwali,2023-11-12,Mumbai South,Mazgaon,Commercial,64.2,50.3,72.2,69.7,32.2,84.2
2023,diwali,2023-11-12,Mumbai South,Girgaon,Commercial,77.0,60.5,86.8,74.0,59.0,79.8
2023,diwali,2023-11-12,Mumbai South,Worli,Commercial,81.9,60.7,89.7,73.7,50.3,87.3
2023,diwali,2023-11-12,Mumbai South,Prabhadevi,Commercial,76.4,40.2,94.3,74.7,49.9,85.3
2023,diwali,2023-11-12,Mumbai South,Mahim,Residential,73.2,60.1,81.1,71.4,60.3,80.1
2023,diwali,2023-11-12,Mumbai South,Parel,Commercial,83.6,51.3,97.1,72.2,43.2,86.0
2023,diwali,2023-11-12,Mumbai South,Byculla,Commercial,72.7,60.4,87.6,64.9,53.3,73.2
2023,diwali,2023-11-12,Mumbai South,Dadar,Commercial,86.5,62.1,104.6,80.9,49.2,92.4
2023,diwali,2023-11-12,Mumbai South,Sion,Commercial,71.6,60.4,86.1,66.9,52.0,76.1
2023,diwali,2023-11-12,Mumbai South,Hindu Colony,Residential,67.7,50.3,74.5,63.2,46.4,69.2
2023,diwali,2023-11-12,Mumbai South,Matunga,Commercial,79.2,50.4,90.6,78.1,55.6,90.5
2023,diwali,2023-11-12,Mumbai South,Kamathipura,Commercial,74.6,54.5,87.6,68.1,51.9,75.4
2023,diwali,2023-11-12,Mumbai South,Malabar Hills,Residential,78.8,60.9,89.9,69.9,52.5,79.0
2023,post_diwali,2023-11-14,Mumbai South,Colaba,Silence,80.3,54.8,89.9,68.4,41.1,80.1
2023,post_diwali,2023-11-14,Mumbai South,Mantralaya,Commercial,79.4,58.9,89.2,74.8,34.2,86.7
2023,post_diwali,2023-11-14,Mumbai South,Mazgaon,Commercial,67.5,47.3,75.5,62.6,50.2,72.3
2023,post_diwali,2023-11-14,Mumbai South,Girgaon,Commercial,76.3,60.6,82.7,71.4,59.3,79.5
2023,post_diwali,2023-11-14,Mumbai South,Worli,Commercial,71.9,54.8,83.9,74.6,34.2,86.5
2023,post_diwali,2023-11-14,Mumbai South,Prabhadevi,Commercial,71.2,53.8,83.0,67.0,52.1,79.9
2023,post_diwali,2023-11-14,Mumbai South,Mahim,Residential,64.1,50.3,72.2,67.0,50.5,78.1
2023,post_diwali,2023-11-14,Mumbai South,Parel,Commercial,68.4,47.1,81.7,74.3,41.3,92.0
2023,post_diwali,2023-11-14,Mumbai South,Byculla,Commercial,70.4,54.5,78.5,67.5,50.2,78.4
2023,post_diwali,2023-11-14,Mumbai South,Dadar,Commercial,79.0,54.5,97.3,77.5,47.6,89.3
2023,post_diwali,2023-11-14,Mumbai South,Sion,Commercial,70.0,59.8,77.9,66.8,55.5,77.9
2023,post_diwali,2023-11-14,Mumbai South,Hindu Colony,Residential,67.8,50.3,74.5,73.4,56.4,86.7
2023,post_diwali,2023-11-14,Mumbai South,Matunga,Commercial,78.5,52.3,92.7,67.9,52.4,79.4
2023,post_diwali,2023-11-14,Mumbai South,Kamathipura,Commercial,82.0,61.8,93.1,71.3,53.7,81.6
2023,post_diwali,2023-11-14,Mumbai South,Malabar Hills,Residential,76.9,57.3,87.7,71.5,50.5,84.6
2024,pre_diwali,2024-10-24,Mumbai South,Colaba,Silence,83.3,51.4,99.9,69.6,48.2,80.4
2024,pre_diwali,2024-10-24,Mumbai South,Mantralaya,Commercial,76.9,57.3,87.7,71.5,50.5,84.6
2024,pre_diwali,2024-10-24,Mumbai South,Mazgaon,Commercial,75.6,60.8,82.9,68.2,51.4,78.7
2024,pre_diwali,2024-10-24,Mumbai South,Girgaon,Commercial,75.1,58.2,80.9,60.7,50.0,69.5
2024,pre_diwali,2024-10-24,Mumbai South,Worli,Commercial,78.6,44.7,94.8,76.3,47.5,88.9
2024,pre_diwali,2024-10-24,Mumbai South,Prabhadevi,Commercial,75.3,41.9,90.5,75.3,46.7,87.7
2024,pre_diwali,2024-10-24,Mumbai South,Mahim,Residential,73.9,51.6,89.3,72.6,53.0,82.5
2024,pre_diwali,2024-10-24,Mumbai South,Parel,Commercial,75.7,55.4,89.8,65.4,46.2,73.7
2024,pre_diwali,2024-10-24,Mumbai South,Byculla,Commercial,73.0,49.1,83.7,67.2,43.1,80.3
2024,pre_diwali,2024-10-24,Mumbai South,Dadar,Commercial,73.4,54.3,87.3,66.9,40.1,75.6
2024,pre_diwali,2024-10-24,Mumbai South,Sion,Commercial,73.1,61.6,85.5,69.8,46.8,83.6
2024,pre_diwali,2024-10-24,Mumbai South,Hindu Colony,Residential,77.1,42.7,88.4,71.9,43.0,82.6
2024,pre_diwali,2024-10-24,Mumbai South,Matunga,Commercial,81.7,53.1,99.9,67.4,45.5,78.0
2024,pre_diwali,2024-10-24,Mumbai South,Kamathipura,Commercial,73.3,43.2,83.3,64.4,40.7,72.3
2024,pre_diwali,2024-10-24,Mumbai South,Malabar Hills,Residential,76.9,52.8,83.2,60.7,50.0,68.5
2024,diwali,2024-10-31,Mumbai South,Colaba,Silence,81.9,51.1,95.0,70.2,48.2,81.4
2024,diwali,2024-10-31,Mumbai South,Mantralaya,Commercial,73.4,54.6,83.3,61.9,45.7,69.4
2024,diwali,2024-10-31,Mumbai South,Mazgaon,Commercial,75.9,57.8,89.2,68.2,51.4,78.7
2024,diwali,2024-10-31,Mumbai South,Girgaon,Commercial,79.9,59.6,89.9,69.7,52.8,80.3
2024,diwali,2024-10-31,Mumbai South,Worli,Commercial,79.5,50.7,89.7,73.9,42.5,86.4
2024,diwali,2024-10-31,Mumbai South,Prabhadevi,Commercial,74.1,58.3,87.0,72.6,43.8,84.2
2024,diwali,2024-10-31,Mumbai South,Mahim,Residential,67.8,50.3,74.5,63.2,46.4,69.2
2024,diwali,2024-10-31,Mumbai South,Parel,Commercial,81.4,55.3,91.7,61.4,50.1,72.3
2024,diwali,2024-10-31,Mumbai South,Byculla,Commercial,73.9,51.6,89.3,72.6,53.0,82.5
