year,date,day_of_week,location,h18_19,h19_20,h20_21,h21_22,h22_23,h23_24,lmax,lmin,leq
2024,2024-09-07,Saturday,Andheri,66.0,71.6,69.1,69.7,72.5,64.5,77.2,58.0,69.8
2024,2024-09-07,Saturday,Bandra,70.3,74.6,73.9,73.2,69.7,66.1,82.5,60.1,72.1
2024,2024-09-07,Saturday,Bhandup,64.9,73.5,74.6,69.1,66.6,55.1,78.6,50.1,70.5
2024,2024-09-07,Saturday,Borivali,71.3,70.4,70.9,71.9,63.5,62.6,78.3,55.6,69.7
2024,2024-09-07,Saturday,Byculla,66.3,69.9,70.8,68.7,66.9,60.3,73.5,55.3,68.2
2024,2024-09-07,Saturday,Chembur (East),70.2,69.8,68.0,66.8,63.1,67.4,74.1,56.2,68.1
2024,2024-09-07,Saturday,Chembur (West),71.1,68.3,71.5,71.5,72.9,72.5,79.2,59.2,71.5
2024,2024-09-07,Saturday,Chinchpokali (E),69.3,65.7,65.7,68.9,64.8,64.3,75.4,51.8,66.9
2024,2024-09-07,Saturday,Chinchpokali (W),61.1,78.7,78.7,72.8,73.9,64.2,82.3,57.7,75.2
2024,2024-09-07,Saturday,Dadar (East),71.1,65.1,75.4,70.0,75.2,71.8,84.2,57.8,72.6
2024,2024-09-07,Saturday,Dadar (West),71.9,76.1,76.0,78.4,83.4,92.6,98.6,48.9,85.7
2024,2024-09-07,Saturday,Elphinstone,77.8,71.6,65.9,68.2,63.9,56.6,83.5,50.9,71.7
2024,2024-09-07,Saturday,Ghatkopar (E),68.8,69.1,70.2,73.6,70.0,63.1,79.2,56.2,70.1
2024,2024-09-07,Saturday,Girgaon Chowpati,68.2,74.1,73.9,73.2,69.7,66.1,80.5,60.3,71.8
2024,2024-09-07,Saturday,Grant Road,72.9,81.0,75.0,76.8,75.8,66.0,89.0,61.7,76.5
2024,2024-09-07,Saturday,Juhu Chowpati,70.6,72.4,77.5,72.4,69.6,65.8,82.8,59.6,72.8
2024,2024-09-07,Saturday,Kandivali (East),76.1,74.1,82.6,79.3,80.0,75.2,88.9,66.3,78.9
2024,2024-09-07,Saturday,Kandivali (West),66.1,67.2,68.4,63.6,60.8,60.4,74.5,56.5,65.4
2024,2024-09-07,Saturday,Khar,71.5,72.6,76.4,74.1,70.6,60.9,80.7,52.2,72.8
2024,2024-09-07,Saturday,Mulund,70.4,91.1,89.5,100.5,87.9,68.3,110.0,60.0,93.7
2024,2024-09-07,Saturday,Mumbai Central,68.1,69.2,70.4,67.5,65.3,58.6,72.9,54.2,67.7
