year,city,date,navratri_day,location,time_slot,leq,lmax,lmin
2017,Jabalpur,2017-09-21,1,Vijay Nagar,8-9AM,73.7,84.2,54.2
2017,Jabalpur,2017-09-21,1,Vijay Nagar,9-10AM,72.8,90.1,53.1
2017,Jabalpur,2017-09-21,1,Vijay Nagar,6-7PM,69.3,78.8,50.8
2017,Jabalpur,2017-09-21,1,Vijay Nagar,7-8PM,71.2,82.7,52.1
2017,Jabalpur,2017-09-21,1,Vijay Nagar,8-9PM,73.9,83.4,55.7
2017,Jabalpur,2017-09-21,1,Vijay Nagar,9-10PM,73.6,89.1,49.8
2017,Jabalpur,2017-09-21,1,Kachpura Bridge,8-9AM,72.3,91.4,51.4
2017,Jabalpur,2017-09-21,1,Kachpura Bridge,9-10AM,71.9,93.0,56.3
2017,Jabalpur,2017-09-21,1,Kachpura Bridge,6-7PM,68.4,77.9,49.9
2017,Jabalpur,2017-09-21,1,Kachpura Bridge,7-8PM,72.2,81.7,53.7
2017,Jabalpur,2017-09-21,1,Kachpura Bridge,8-9PM,73.2,82.7,54.7
2017,Jabalpur,2017-09-21,1,Kachpura Bridge,9-10PM,72.8,90.3,62.3
2017,Jabalpur,2017-09-21,1,Tripuri Chowk,8-9AM,74.6,91.7,54.2
2017,Jabalpur,2017-09-21,1,Tripuri Chowk,9-10AM,72.0,94.1,52.4
2017,Jabalpur,2017-09-21,1,Tripuri Chowk,6-7PM,69.9,79.4,51.4
2017,Jabalpur,2017-09-21,1,Tripuri Chowk,7-8PM,73.6,83.1,55.1
2017,Jabalpur,2017-09-21,1,Tripuri Chowk,8-9PM,74.7,84.2,56.2
2017,Jabalpur,2017-09-21,1,Tripuri Chowk,9-10PM,72.9,89.4,61.4
2017,Jabalpur,2017-09-24,4,Vijay Nagar,8-9AM,76.7,88.0,61.6
2017,Jabalpur,2017-09-24,4,Vijay Nagar,9-10AM,78.8,90.1,63.7
2017,Jabalpur,2017-09-24,4,Vijay Nagar,6-7PM,76.5,84.6,57.8
2017,Jabalpur,2017-09-24,4,Vijay Nagar,7-8PM,75.6,83.7,56.9
2017,Jabalpur,2017-09-24,4,Vijay Nagar,8-9PM,77.7,85.8,59.0
2017,Jabalpur,2017-09-24,4,Vijay Nagar,9-10PM,79.4,88.9,60.9
2017,Jabalpur,2017-09-24,4,Kachpura Bridge,8-9AM,84.3,91.4,71.2
2017,Jabalpur,2017-09-24,4,Kachpura Bridge,9-10AM,85.9,93.0,72.8
2017,Jabalpur,2017-09-24,4,Kachpura Bridge,6-7PM,75.9,84.0,57.2
2017,Jabalpur,2017-09-24,4,Kachpura Bridge,7-8PM,77.3,85.4,58.6
2017,Jabalpur,2017-09-24,4,Kachpura Bridge,8-9PM,80.8,88.9,62.1
2017,Jabalpur,2017-09-24,4,Kachpura Bridge,9-10PM,81.9,90.0,63.2
2017,Jabalpur,2017-09-24,4,Tripuri Chowk,8-9AM,84.6,91.7,71.5
2017,Jabalpur,2017-09-24,4,Tripuri Chowk,9-10AM,87.0,94.1,73.9
2017,Jabalpur,2017-09-24,4,Tripuri Chowk,6-7PM,77.6,85.7,58.9
2017,Jabalpur,2017-09-24,4,Tripuri Chowk,7-8PM,79.5,87.6,60.8
2017,Jabalpur,2017-09-24,4,Tripuri Chowk,8-9PM,80.0,88.1,61.3
2017,Jabalpur,2017-09-24,4,Tripuri Chowk,9-10PM,81.7,89.8,63.0
2017,Jabalpur,2017-09-26,6,Vijay Nagar,8-9AM,80.0,88.1,61.3
2017,Jabalpur,2017-09-26,6,Vijay Nagar,9-10AM,79.6,87.7,60.9
2017,Jabalpur,2017-09-26,6,Vijay Nagar,6-7PM,83.0,92.5,64.5
2017,Jabalpur,2017-09-26,6,Vijay Nagar,7-8PM,84.4,93.9,65.9
2017,Jabalpur,2017-09-26,6,Vijay Nagar,8-9PM,86.4,95.9,67.9
2017,Jabalpur,2017-09-26,6,Vijay Nagar,9-10PM,87.9,97.4,69.4
2017,Jabalpur,2017-09-26,6,Kachpura Bridge,8-9AM,80.9,89.0,62.2
2017,Jabalpur,2017-09-26,6,Kachpura Bridge,9-10AM,80.1,88.2,61.4
2017,Jabalpur,2017-09-26,6,Kachpura Bridge,6-7PM,80.4,89.9,61.9
2017,Jabalpur,2017-09-26,6,Kachpura Bridge,7-8PM,83.2,92.7,64.7
2017,Jabalpur,2017-09-26,6,Kachpura Bridge,8-9PM,85.5,95.0,67.0
2017,Jabalpur,2017-09-26,6,Kachpura Bridge,9-10PM,88.7,98.2,70.2
2017,Jabalpur,2017-09-26,6,Tripuri Chowk,8-9AM,82.2,90.3,63.5
2017,Jabalpur,2017-09-26,6,Tripuri Chowk,9-10AM,80.2,88.3,61.5
2017,Jabalpur,2017-09-26,6,Tripuri Chowk,6-7PM,82.0,91.5,63.5
2017,Jabalpur,2017-09-26,6,Tripuri Chowk,7-8PM,82.3,91.8,63.8
2017,Jabalpur,2017-09-26,6,Tripuri Chowk,8-9PM,87.0,96.5,68.5
2017,Jabalpur,2017-09-26,6,Tripuri Chowk,9-10PM,86.1,95.6,67.6
2017,Jabalpur,2017-09-30,10,Vijay Nagar,8-9AM,86.5,96.8,62.1
2017,Jabalpur,2017-09-30,10,Vijay Nagar,9-10AM,87.0,98.2,68.4
2017,Jabalpur,2017-09-30,10,Vijay Nagar,6-7PM,101.0,109.7,64.7
2017,Jabalpur,2017-09-30,10,Vijay Nagar,7-8PM,101.9,112.8,67.8
2017,Jabalpur,2017-09-30,10,Vijay Nagar,8-9PM,101.4,110.1,68.2
2017,Jabalpur,2017-09-30,10,Vijay Nagar,9-10PM,110.1,127.5,62.4
2017,Jabalpur,2017-09-30,10,Kachpura Bridge,8-9AM,86.5,95.4,68.4
2017,Jabalpur,2017-09-30,10,Kachpura Bridge,9-10AM,88.5,96.4,66.4
2017,Jabalpur,2017-09-30,10,Kachpura Bridge,6-7PM,93.7,101.3,64.8
2017,Jabalpur,2017-09-30,10,Kachpura Bridge,7-8PM,99.8,115.8,66.2
2017,Jabalpur,2017-09-30,10,Kachpura Bridge,8-9PM,100.6,110.1,74.5
2017,Jabalpur,2017-09-30,10,Kachpura Bridge,9-10PM,98.0,107.3,74.8
2017,Jabalpur,2017-09-30,10,Tripuri Chowk,8-9AM,84.0,98.5,66.4
2017,Jabalpur,2017-09-30,10,Tripuri Chowk,9-10AM,85.9,94.8,68.2
2017,Jabalpur,2017-09-30,10,Tripuri Chowk,6-7PM,94.3,101.6,74.2
2017,Jabalpur,2017-09-30,10,Tripuri Chowk,7-8PM,99.1,113.8,73.9
2017,Jabalpur,2017-09-30,10,Tripuri Chowk,8-9PM,98.8,110.1,75.6
2017,Jabalpur,2017-09-30,10,Tripuri Chowk,9-10PM,98.3,108.3,72.4
