year,day_type,date,ward,location,zone_type,day_leq,day_lmin,day_lmax,night_leq,night_lmin,night_lmax
2023,pre_diwali,2023-11-06,Pune,Shivajinagar,Silence,78.4,37.4,90.6,67.3,50.0,76.4
2023,pre_diwali,2023-11-06,Pune,Sassoon Hospital Area,Silence,80.3,50.0,95.1,68.9,41.4,78.4
2023,pre_diwali,2023-11-06,Pune,Camp,Commercial,73.2,38.6,84.9,64.7,43.2,74.7
2023,pre_diwali,2023-11-06,Pune,Deccan Gymkhana,Commercial,72.2,37.8,82.8,66.1,44.3,79.6
2023,pre_diwali,2023-11-06,Pune,Swargate,Commercial,74.1,35.2,82.4,62.9,38.8,72.1
2023,pre_diwali,2023-11-06,Pune,Market Yard,Commercial,72.9,32.6,84.0,65.0,48.2,76.5
2023,pre_diwali,2023-11-06,Pune,Kothrud,Residential,76.0,41.3,87.6,64.8,41.6,74.1
2023,pre_diwali,2023-11-06,Pune,Aundh,Residential,75.8,44.5,85.2,67.3,51.6,77.6
2023,pre_diwali,2023-11-06,Pune,Baner,Residential,71.8,29.4,82.3,65.7,46.5,77.5
2023,pre_diwali,2023-11-06,Pune,Hadapsar,Residential,75.1,44.0,90.0,66.3,39.7,75.7
2023,pre_diwali,2023-11-06,Pune,Katraj,Residential,76.4,34.8,84.9,68.7,48.3,77.5
2023,pre_diwali,2023-11-06,Pune,Viman Nagar,Residential,75.1,40.1,83.5,68.8,49.1,79.1
2023,pre_diwali,2023-11-06,Pune,Hinjewadi,Residential,76.0,32.7,87.3,69.4,52.6,82.4
2023,pre_diwali,2023-11-06,Pune,Koregaon Park,Commercial,74.7,33.1,86.2,68.3,45.5,79.3
2023,pre_diwali,2023-11-06,Pune,Pune Cantonment,Silence,77.7,43.0,89.3,67.0,38.4,76.7
2023,diwali,2023-11-12,Pune,Shivajinagar,Silence,84.2,50.8,92.7,71.6,52.3,80.7
2023,diwali,2023-11-12,Pune,Sassoon Hospital Area,Silence,83.1,41.0,92.4,73.1,44.7,84.9
2023,diwali,2023-11-12,Pune,Camp,Commercial,74.7,41.3,85.7,68.9,41.6,82.9
2023,diwali,2023-11-12,Pune,Deccan Gymkhana,Commercial,76.0,39.7,85.6,69.1,52.3,79.5
2023,diwali,2023-11-12,Pune,Swargate,Commercial,75.7,37.9,88.6,70.2,49.7,85.0
2023,diwali,2023-11-12,Pune,Market Yard,Commercial,72.5,38.2,80.8,69.5,45.4,81.0
2023,diwali,2023-11-12,Pune,Kothrud,Residential,72.2,40.0,83.6,65.0,35.2,74.7
2023,diwali,2023-11-12,Pune,Aundh,Residential,74.6,41.0,87.7,65.9,45.4,78.3
2023,diwali,2023-11-12,Pune,Baner,Residential,73.6,42.2,87.4,68.4,48.6,77.7
2023,diwali,2023-11-12,Pune,Hadapsar,Residential,72.7,32.5,80.8,63.6,40.9,73.2
2023,diwali,2023-11-12,Pune,Katraj,Residential,70.6,30.2,81.3,65.4,36.3,74.4
2023,diwali,2023-11-12,Pune,Viman Nagar,Residential,71.1,27.2,85.2,63.9,45.0,76.5
2023,diwali,2023-11-12,Pune,Hinjewadi,Residential,72.9,35.0,82.6,66.9,50.5,81.2
2023,diwali,2023-11-12,Pune,Koregaon Park,Commercial,76.5,41.4,86.9,70.9,45.0,85.2
2023,diwali,2023-11-12,Pune,Pune Cantonment,Silence,82.0,42.4,90.6,73.1,55.7,87.4
2023,post_diwali,2023-11-18,Pune,Shivajinagar,Silence,79.5,49.4,88.6,65.7,42.5,78.5
2023,post_diwali,2023-11-18,Pune,Sassoon Hospital Area,Silence,76.9,36.2,86.6,68.2,48.3,81.4
2023,post_diwali,2023-11-18,Pune,Camp,Commercial,76.7,36.8,88.7,68.7,52.3,79.3
2023,post_diwali,2023-11-18,Pune,Deccan Gymkhana,Commercial,73.4,28.8,84.2,66.5,38.1,78.9
2023,post_diwali,2023-11-18,Pune,Swargate,Commercial,75.0,36.3,86.4,70.6,52.7,83.7
2023,post_diwali,2023-11-18,Pune,Market Yard,Commercial,73.1,29.0,87.8,68.9,40.2,79.5
2023,post_diwali,2023-11-18,Pune,Kothrud,Residential,72.4,27.9,86.4,65.9,46.5,76.6
2023,post_diwali,2023-11-18,Pune,Aundh,Residential,70.7,38.2,82.6,67.5,38.5,80.4
2023,post_diwali,2023-11-18,Pune,Baner,Residential,69.9,30.7,84.8,66.3,49.2,77.9
2023,post_diwali,2023-11-18,Pune,Hadapsar,Residential,72.1,31.6,85.0,67.0,46.6,77.1
2023,post_diwali,2023-11-18,Pune,Katraj,Residential,72.4,29.4,86.8,66.9,44.2,78.4
2023,post_diwali,2023-11-18,Pune,Viman Nagar,Residential,72.5,32.0,86.1,68.0,39.6,78.4
2023,post_diwali,2023-11-18,Pune,Hinjewadi,Residential,70.1,31.4,78.4,65.6,43.6,77.4
